gen_loss,disc_loss
4.4769707,3.3645036
3.531886577606201,3.765558958053589
3.7346479892730713,3.4759254455566406
4.47870683670044,3.825503826141357
3.2066779136657715,3.534198760986328
3.416613817214966,3.660989284515381
3.6574530601501465,3.386050224304199
4.127924919128418,3.1754419803619385
2.996732711791992,3.6297879219055176
2.9392898082733154,3.4414219856262207
3.5235631465911865,3.605374336242676
2.7424936294555664,3.9663245677948
4.009725570678711,3.0104756355285645
4.087469100952148,3.764267683029175
3.9606103897094727,2.686319351196289
3.170472860336304,3.299467086791992
4.671632766723633,3.429084300994873
3.600487232208252,3.230432510375977
3.9308252334594727,3.415639162063598
4.683138847351074,3.194901943206787
5.094273567199707,2.6300296783447266
3.609916210174561,3.413327217102051
4.9250335693359375,3.2277615070343018
2.824260234832764,4.072367191314697
2.9608378410339355,4.006874561309815
2.577026844024658,4.655428886413574
3.283033609390259,3.3555140495300293
3.406118392944336,3.187857151031494
3.164982795715332,3.385256290435791
3.442103862762451,3.227546215057373
4.074225902557373,3.0135767459869385
3.381782293319702,3.550762891769409
4.962075233459473,2.881659984588623
3.2584662437438965,3.392261505126953
4.514608860015869,2.8819003105163574
3.393580198287964,2.9027462005615234
4.473866939544678,3.0720643997192383
5.320339202880859,2.859041213989258
3.4241905212402344,3.0788536071777344
3.4451820850372314,3.690809726715088
4.668266296386719,3.841555833816528
3.5089051723480225,2.997011423110962
2.995969772338867,3.751331329345703
4.279297828674316,2.736271381378174
3.332327127456665,3.443243265151977
3.697500228881836,3.045994758605957
2.9063854217529297,3.775822401046753
3.352048397064209,2.946306705474853
3.122744560241699,3.4524593353271484
3.853838443756104,2.823406457901001
3.9879133701324463,2.949598789215088
4.414873600006104,3.123762607574463
3.208448886871338,3.521492958068848
3.8194499015808105,3.177983522415161
4.794390678405762,3.4102675914764404
4.017429351806641,2.6648519039154053
4.0172553062438965,3.005445957183838
3.520963668823242,3.397524833679199
4.844959259033203,2.618982076644897
4.099354267120361,3.259183406829834
3.851069450378418,3.74757719039917
4.145413398742676,2.872255325317383
4.02639102935791,2.987443447113037
2.940250396728516,3.777693271636963
4.179320812225342,3.0149588584899902
4.774836540222168,5.035189151763916
4.678056716918945,3.9347424507141113
5.337733268737793,2.5681862831115723
3.273306369781494,3.2485692501068115
4.474255561828613,3.0128660202026367
3.1171810626983643,4.066547393798828
3.8521370887756334,2.87537145614624
3.4599666595458984,3.1512603759765625
2.607145309448242,4.621516227722168
2.813962936401367,3.874202966690064
3.570228815078736,3.144514799118042
3.2170660495758057,3.487421989440918
2.969256401062012,4.063353061676025
6.195375442504883,3.236559629440308
5.143266201019287,2.601568937301636
3.5416862964630127,3.5729637145996094
4.951311111450195,3.403638362884521
4.173428058624268,3.2996273040771484
3.892430305480957,3.11061954498291
3.517643451690674,2.811852216720581
3.4237823486328125,3.392662525177002
4.148190975189209,2.7754065990448
3.460978746414185,3.5108962059021
3.0348987579345703,3.601266860961914
3.6037251949310303,2.907559871673584
3.788678646087648,2.909342288970948
2.9550042152404785,4.279920101165772
3.609140634536743,3.392566204071045
3.150698661804199,3.0392277240753174
3.0330922603607178,3.751385450363159
4.813656806945801,2.959707021713257
5.125188827514648,2.6043896675109863
4.178825855255127,3.6026177406311035
3.422482967376709,3.691186666488648
3.5579047203063965,3.1100211143493652
